topic,filename_prefix
Mathematical Physics,section_1
Classical Mechanics,section_2
Electromagnetic Theory,section_3
Quantum Mechanics,section_4
Thermodynamics and Statistical Physics,section_5
Atomic and Molecular Physics,section_6
Solid State Physics,section_7
Electronics,section_8
Nuclear and Particle Physics,section_9
