chemical_periodicity,unit_01
structure_and_bonding,unit_02
concepts_of_acids_and_bases,unit_03
main_group_elements_and_their_compounds,unit_04
transition_elements_and_coordination_compounds,unit_05
lanthanides_and_actinides,unit_06
organometallic_compounds,unit_07
cages_and_metal_clusters,unit_08
analytical_chemistry,unit_09
bioinorganic_chemistry,unit_10
characterisation_of_inorganic_compounds,unit_11
nuclear_chemistry,unit_12
