topic,filename_prefix
Basic Principles of Quantum Mechanics,unit_01
Approximate Methods of Quantum Mechanics,unit_02
Atomic Structure and Spectroscopy,unit_03
Chemical Bonding in Diatomics,unit_04
Chemical Applications of Group Theory,unit_05
Molecualar Spectroscopy,unit_06
Chemical Thermodynamics,unit_07
Statistical Thermodynamics,unit_08
Electrochemistry,unit_09
Chemical Kinetics,unit_10
Colloids and Surfaces,unit_11
Solid State,unit_12
Polymer Chemistry,unit_13
Data Analysis,unit_14
