topic,filename_prefix
Chemistry of Main Group Elements,unit_01
Inroganic Rings and Clusters,unit_02
Chemistry of Noble Gases and Interhalogen Compounds,unit_03
Chemistry of Acids and Bases,unit_04
Transition Metals and Coordination Chemistry,unit_05
Chemistry of Lanthanides and Actinides,unit_06
Chemistry of Organometallic Compounds,unit_07
Nuclear Chemistry,unit_08
Bioinorganic Chemistry,unit_09
Inorganic Solids and Crystals,unit_10
Instrumental Methods of Analysis,unit_11
