topic,filename_prefix
Chemical Periodicity,unit_01
Structure and Bonding,unit_02
Concepts of Acids and Bases,unit_03
Main Group Elements and Their Compounds,unit_04
Transition Elements and Coordination Compounds,unit_05
Lanthanides and Actinides,unit_06
Organometallic Compounds,unit_07
Cages and Metal Clusters,unit_08
Analytical Chemistry,unit_09
Bioinorganic Chemistry,unit_10
Characterization of Inorganic Compounds,unit_11
Nuclear Chemistry,unit_12
